z1,z2,z3,gibbs_e_mix,gibbs_e_mix_RT
0.1,0.26,0.64,-1810.8155715529429,-0.7184666730835104
0.1,0.28,0.62,-1831.5190819699055,-0.7266810834763194
0.1,0.3,0.6,-1846.6263506675896,-0.7326751058666258
0.1,0.32,0.58,-1856.3759522904875,-0.7365433981167779
0.1,0.34,0.56,-1860.9771154385598,-0.7383689746311631
0.1,0.36,0.54,-1860.6150169817483,-0.7382253069503231
0.1,0.38,0.52,-1855.454860236663,-0.736177941825198
0.1,0.4,0.5,-1845.6450424877003,-0.7322857579759016
0.1,0.42,0.48,-1831.3196204756932,-0.7266019443091916
0.1,0.44,0.46,-1812.6002164622187,-0.7191747561764248
0.1,0.46,0.44,-1789.597460495821,-0.7100480876130678
0.1,0.48,0.42,-1762.4120291645704,-0.699261883478456
0.1,0.5,0.4,-1731.135312492337,-0.686852404056317
0.1,0.52,0.38,-1695.8497151218435,-0.6728523445534039
0.1,0.54,0.36,-1656.6285725033667,-0.6572908018461779
0.1,0.56,0.34,-1613.5356344542924,-0.6401930695757622
0.1,0.58,0.32,-1566.6240335747607,-0.6215802288522676
0.1,0.6,0.3,-1515.9346096838926,-0.6014684834511833
0.1,0.62,0.28,-1461.4933963012845,-0.5798681625393811
0.1,0.64,0.26,-1403.307979448773,-0.55678227597825
0.1,0.66,0.24,-1341.3622929322937,-0.5322044492782062
0.1,0.68,0.22,-1275.6091832731563,-0.5061159736300861
0.1,0.7,0.2,-1205.9596986912602,-0.478481556157841
0.1,0.72,0.18,-1132.267409900498,-0.4492430989724952
0.1,0.74,0.16,-1054.3049140651674,-0.41831037678474625
0.1,0.76,0.14,-971.7274882098609,-0.3855466158815958
0.1,0.78,0.12,-884.0144435762677,-0.3507452256384809
0.1,0.8,0.1,-790.3690318873714,-0.31359008491481394
0.1,0.82,0.08,-689.5339890560335,-0.27358235641315604
0.1,0.84,0.06,-579.4122677864457,-0.2298900069780677
0.1,0.86,0.04,-456.143685699516,-0.18098145468868915
0.1,0.88,0.02,-311.05921934648677,-0.12341714195894864
0.1,0.9,0.0,-101.28328967650668,-0.0401855767732477
0.12,0.0,0.88,-758.6673270492538,-0.30101198543084234
0.12,0.02,0.86,-983.0947748363396,-0.3900567475221741
0.12,0.04,0.84,-1135.6911717177572,-0.45060152486683797
0.12,0.06,0.82,-1259.951920139014,-0.49990373317318904
0.12,0.08,0.8,-1365.114057823128,-0.5416282977192403
0.12,0.1,0.78,-1455.5594103482,-0.5775137697382519
0.12,0.12,0.76,-1533.865145981741,-0.6085826771674823
0.12,0.14,0.74,-1601.7314644275466,-0.635509598270976
0.12,0.16,0.72,-1660.3647555223579,-0.6587731852682421
